Buffalo,Bills,Ralph Wilson Stadium
Miami,Dolphins,Sun Life Stadium
New England,Patriots,Gilette Stadium
New York,Jets,MetLife Stadium
Baltimore,Ravens,M&T Bank Stadium
Cincinatti,Bengals,Paul Brown Stadium
Cleveland,Browns,First Energy Stadium
Pittsburgh,Steelers,Heinz Field
Houston,Texans,Reliant Stadium
Indianapolis,Colts,Lucas Oil Stadium
Jacksonville,Jaguars,EverBank Field
Tennessee,Titans,LP Field
Denver,Broncos,Mile High Stadium
Kansas City,Chiefs,Arrowhead Stadium
Oakland,Raiders,O.co Coliseum
San Diego,Chargers,Qualcomm Stadium
Dallas,Cowboys,AT&T Stadium
New York,Giants,MetLife Stadium
Philadelphia,Eagles,Lincoln Financial Field
Washington,Redskins,FedEx Field
Chicago,Bears,Soldier Field
Detroit,Lions,Ford Field
Green Bay,Packers,Lambeau Field
Minnesota,Vikings,TCF Bank Stadium
Atlanta,Falcons,Georiga Dome
Carolina,Panthers,Bank of America Stadium
New Orleans,Saints,Mercedes-Benz Superdome
Tampa Bay,Buccaneers,Raymond James Stadium
Arizona,Cardinals,University of Phoenix Stadium
St. Louis,Rams,Edward Jones Dome
San Francisco,49ers,Candlestick Park
Seattle,Seahawks,CenturyLink Field
